Ainley, David 	B-031-M 	Adelie Penguin response to climate change at the individual, colony and metapopulation levels
Kemerait, Robert 	G-078-M 	Dry Valley seismic project
Kennicutt, Mahlon 	B-518-M 	Temporal variability in natural and anthropogenic disturbance of McMurdo Station
Kim, Stacy 	B-174-M 	Benthic-pelagic coupling in an intact ecosystem: The role of top predators in McMurdo Sound
Kovac, John 	A-039-S 	Collaborative Research: BICEP2 and SPUD - A search for inflation with degree-scale polarimetry from the South Pole
Kulesa, Craig 	A-364-S 	High Elevation Antarctic Terahertz (HEAT) telescopes for Dome A and Ridge A
LaBelle, James 	A-128-S 	Outstanding Questions on Auroral Radiation Fine Structure
LaBelle, James 	A-125-S 	Application of the AGO network to energy transfer in the radiation belts and remote sensing of auroral plasma processes
Lazzara, Matt 	O-283-M 	Antarctic Automatic Weather Station (AWS) program
Ledwell, James Robert 	O-124-L 	Studies of turbulence and mixing in the Antarctic Circumpolar Current, a continuation of DIMES
Lyons, W. Berry 	B-509-M 	McMurdo LTER - Geochemistry: Increased connectivity in a polar desert resulting from climate warming: McMurdo Dry Valley LTER Program
Marchant, David R 	G-054-M 	Quantifying surface processes above buried ice in Antarctica: Implications for terrestrial climate change and glaciation on Mars
Martinson, Doug 	B-021-L 	Palmer Long Term Ecological Research (LTER): Looking back in time through marine ecosystem space, physical oceanography component
Mayewski, Paul 	I-173-M 	Roosevelt Island Climate Evolution (RICE) project
McKnight, Diane 	B-506-M 	McMurdo LTER - Streams: Increased connectivity in a polar desert resulting from climate warming: McMurdo Dry Valley LTER Program
Mitchell, John 	A-142-M 	Super Trans-Iron Galactic Element Recorder (SuperTIGER)
Moore, Robert C 	A-109-M/P/S 	Collaborative Research: Antarctic ELF/VLF observations of lightning and lightning-induced electron precipitation
Morin, Paul 	T-434-M 	The Polar Geospatial Information Center: Joint support
Naveen, Ron 	B-044-E 	Collaborative Research: Multispecies, multi-scale investigations of long-term changes in penguin and seabird populations on the Antarctic Peninsula
Pettit, Joseph R 	T-295-M 	UNAVCO GPS survey support
Powell, Ross 	C-522-M 	Integrative study of marine ice sheet stability and subglacial life habitats - Robotic Access to Grounding-zones for Exploration and Science (RAGES)
Priscu, John 	C-523-M 	GeomicroBiology of Antarctic Subglacial Environments (GBASE) beneath the Mercer and Whillans ice streams
Priscu, John 	B-505-M 	McMurdo LTER - Lakes: Increased connectivity in a polar desert resulting from climate warming: McMurdo Dry Valley LTER Program
Pryke, Clement 	A-149-S 	Collaborative Research: BICEP2 and SPUD - A search for inflation with degree-scale polarimetry from the South Pole
Rack, Frank 	C-524-M 	WISSARD borehole drill contractor
Rotella, Jay 	B-009-M 	The demographic consequences of environmental variability and individual heterogeneity in life-history tactics of a long-lived Antarctic marine predator
Scambos, Theodore 	C-514-E 	Collaborative Research in IPY: Abrupt Environmental Change in the Larsen Ice Shelf System, a Multi-disciplinary Approach -- Cryosphere and Oceans (LARISSA)
Severinghaus, Jeffrey 	I-476-M 	Collaborative Research: Replicate coring at WAIS Divide to obtain additional samples at events of high scientific interest
Sprintall, Janet 	O-260-L 	The Drake Passage high-density XBT/XCTD program
Staudigel, Hubert 	G-439-M 	Collaborative research: Microbially mediated alteration of volcanic glass using McMurdo extreme environments as natural laboratories
Steinberg, Deborah 	B-020-L/P 	Palmer Long Term Ecological Research (LTER): Looking back in time through marine ecosystem space, zooplankton component
Stepp, Bill 	A-145-M 	NASA Long Duration Balloon (LDB) support program
Sweeney, Colm 	O-214-L 	Collaborative research: Biogeochemical controls of the oxygen and carbon system in the Drake Passage
Szuberla, Curt 	T-396-M 	Installation of a CTBT class infrasound station
Taylor, Kendrick 	I-477-M 	WAIS Divide Science Coordination Office (SCO)
Thoman, Bruce 	T-927-M 	NASA/McMurdo Ground Station (MG1)
Wall, Diana 	B-507-M 	McMurdo LTER - Soils: Increased connectivity in a polar desert resulting from climate warming: McMurdo Dry Valley LTER Program
Warburton, Janet 	Y-606-M 	PolarTREC
Watters, George 	B-006-N 	NOAA/AMLR Cruise
Weatherwax, Allan T 	A-111-M/S 	Studies of the polar Ionosphere and Magnetosphere from measurements in Antarctica
Weatherwax, Allan T 	A-112-M 	Polar experiment network for geospace upper-atmosphere investigations: PENGUIn - A high-latitude window to geospace dynamics
Wilson, Terry 	G-079-M 	Collaborative research, IPY POLENET-Antarctica: Investigating links between geodynamics and ice sheets
Wu, Qian 	A-132-P 	Thermospheric neutral wind observation in the Antarctica Peninsula
Yuan, Xiaojun 	O-261-N 	Collaborative Research: Sampling the ocean - sea ice interaction in the Pacific center of the Antarctic Dipole
