Ainley, David 	B-031-M 	Adelie Penguin response to climate change at the individual, colony and metapopulation levels
Costa, Daniel 	B-232-M 	Collaborative Research: Weddell seals as autonomous sensors of the winter oceanography of the Ross Sea
Cottle, John 	G-064-M 	Exploring the significance of NA-alkaline magmatism in subduction systems, a case study from the Ross Orogen
Crocker, Brian Christopher 	T-500-M 	T-500-O
Devlin, Mark 	A-147-M 	Balloon-borne Large Aperture Sub-millimeter Telescope (BLAST-POL)
Dolk, Shaun R 	X-592-E 	NOAA’s Global Drifter Program (GDP)
Domack, Eugene 	C-515-E/L 	LARISSA Project participation RVIB Araon Cruise in 2013
Domack, Eugene 	C-515-E/L 	Continuation of the LARISSA continuous GPS network in view of observed dynamic response to Antarctic Peninsula mass balance and required geologic constraints
Doran, Peter 	B-511-M 	McMurdo LTER - Lakes: Increased connectivity in a polar desert resulting from climate warming: McMurdo Dry Valley LTER Program
Ducklow, Hugh William 	B-252-P 	The seasonal cycle of export production in an Antarctic coastal marine ecosystem
Ducklow, Hugh William 	B-045-L/P 	Palmer Long Term Ecological Research (LTER): Looking back in time through marine ecosystem space, microbial ecology component
Durbin, Edward G 	B-014-N 	Euphausia superba feeding using DNA analysis of gut contents
Emerson, Steven R 	O-254-L 	Noble gases in the Drake Passage aboard the ARSV Laurence M. Gould
Engebretson, Mark J 	A-102-M/S 	Studies of solar wind - Magnetosphere interactions using observations of ULF waves at an extensive ground array at high latitudes
Evenson, Paul 	A-118-S 	Element composition of high-energy solar particles
Firing, Eric 	O-317-L/N 	Collaborative research: Southern Ocean current observations from the U.S. Antarctic research vessels
Fountain, Andrew 	B-504-M 	McMurdo LTER - Glaciers: Increased connectivity in a polar desert resulting from climate warming: McMurdo Dry Valleys LTER Program
Fraser, Bill 	B-013-L/P 	Palmer Long Term Ecological Research (LTER): Looking back in time through marine ecosystem space, apex predator component
Friedlaender, Ari Seth 	B-206-E 	RAPID: Linking the movement patterns and foraging behavior of humpback whales to their prey across multiple spatial scales within the LTER study region
Gill, John T 	A-336-P 	ELF/VLF observation of whistler-mode waves, lightning discharge, and gamma-ray events from Palmer Station
Halzen, Francis 	A-333-S 	IceCube operations and maintenance
Hanany, Shaul 	A-146-M 	E & B Experiment (EBEX)
Hansell, Dennis Arthur 	O-309-N 	Collaborative Research: TRacing the fate of Algal Carbon Export in the Ross Sea (TRACERS)
Hansen, Samantha 	G-061-M 	CAREER: Deciphering the tectonic history of the Transantarctic Mountains and the Wilkes Subglacial Basin
Harvey, Ralph 	G-058-M 	Antarctic Search for Meteorites (ANSMET)
Harvey, Ralph 	G-057-M 	The Antarctic Search for Meteorites (ANSMET): Reconnaissance team
Helmig, Detlev 	O-233-M 	Reactive gas chemistry in the Dome C snowpack and its influence on surface-layer chemistry and ice-core records
Hernandez, Gonzalo 	A-110-M/S 	Austral high-latitude atmospheric dynamics
Hofmann, Gretchen 	B-134-M 	Ocean acidification: Integrated approaches to understanding effects on antarctic sea urchins, Sterechinus neumayeri
Holland, David 	O-286-M 	Collaborative Research: Application of distributed temperature sensors (DTS) for Antarctic ice shelves and cavities
Hosticka, Bouvard NMI 	T-998-P 	Operation and maintenance of a CTBT radionuclide monitoring station at Palmer Station
Kalnajs, Lars E 	O-324-M 	Augmenting the Ross Island-area automatic weather station network to develop a tropospheric ozone climatology
Karle, Albrecht 	A-107-S 	Collaborative Research: MRI-R2 instrument development of the Askaryan Radio Array, a large-scale radio Cherenkov neutrino detector at the South Pole
Kemerait, Robert 	G-078-M 	Dry Valley seismic project
Kennicutt, Mahlon 	B-518-M 	Temporal variability in natural and anthropogenic disturbance of McMurdo Station
Kim, Stacy 	B-174-M 	Benthic-pelagic coupling in an intact ecosystem: The role of top predators in McMurdo Sound
Kirschvink, Joseph 	G-435-E 	Magnetostratigraphy of Cretaceous sediments in the James Ross Island basin, Antarctica
Koch, Paul 	B-225-M 	Exploring the vulnerability of Southern Ocean pinnipeds to climate change - an integrated approach
Kooyman, Gerald 	B-464-N 	Pre- and post-molt biology of emperor penguins
Kovac, John 	A-039-S 	Collaborative Research: BICEP2 and SPUD - A search for inflation with degree-scale polarimetry from the South Pole
Kulesa, Craig 	A-364-S 	High Elevation Antarctic Terahertz (HEAT) telescopes for Dome A and Ridge A
LaBelle, James 	A-128-S 	Outstanding Questions on Auroral Radiation Fine Structure
LaBelle, James 	A-125-S 	Application of the AGO network to energy transfer in the radiation belts and remote sensing of auroral plasma processes
Lamanna, Matthew 	G-182-E 	Late Cretaceous-Paleogene vertebrates from Antarctica: Implications for paleobiogeography, paleoenvironment, and extinction in Polar Gondwana
Lazzara, Matt 	O-283-M 	Antarctic Automatic Weather Station (AWS) program
Ledwell, James Robert 	O-124-L 	Studies of turbulence and mixing in the Antarctic Circumpolar Current, a continuation of DIMES
Leonard, Katherine Colby 	O-242-E 	Role of snow distribution processes in Antarctic sea ice mass balance
Levy, Joseph 	G-084-M 	Cryptic hydrology of the McMurdo Dry Valleys: Water track contributions to water and geochemical budgets in Taylor Valley, Antarctica
Levy, Joseph 	G-080-M 	Rapid landscape change in Garwood Valley: Monitoring buried glacier melt and exploring “Péwé’s Lost Lake”
Lubin, Dan 	O-314-M 	Antarctic Cloud Physics: Fundamental Observations from Ross Island
Lyons, W. Berry 	B-509-M 	McMurdo LTER - Geochemistry: Increased connectivity in a polar desert resulting from climate warming: McMurdo Dry Valley LTER Program
Marchant, David R 	G-054-M 	Quantifying surface processes above buried ice in Antarctica: Implications for terrestrial climate change and glaciation on Mars
Martinson, Doug 	B-021-L 	Palmer Long Term Ecological Research (LTER): Looking back in time through marine ecosystem space, physical oceanography component
Mayewski, Paul 	I-173-M 	Roosevelt Island Climate Evolution (RICE) project
McClintock, James 	B-027-P 	The effects of ocean acidification and rising sea surface temperatures on shallow-water benthic organisms in Antarctica
McKay, Christopher 	B-302-M 	IceBite: An auger and sampling systems for ground ice on Mars
McKnight, Diane 	B-506-M 	McMurdo LTER - Streams: Increased connectivity in a polar desert resulting from climate warming: McMurdo Dry Valley LTER Program
Melendy, Renee 	T-940-M 	CRREL 09-10 activities
Mellish, Jo-Ann 	B-470-M 	Collaborative Research: Thermoregulation in free-living Antarctic seals: the missing link in effective ecological modeling
Miller, Scott 	O-278-N 	Air-sea fluxes of momentum, heat, and carbon dioxide at high wind speeds in the Southern Ocean
Min, Larissa 	W-491-M 	Wondering Gondwana
Mitchell, John 	A-142-M 	Super Trans-Iron Galactic Element Recorder (SuperTIGER)
Moore, Anna 	A-356-S 	Analysis of the data from the Gattini Antarctic camera network
Moore, Robert C 	A-109-M/P/S 	Collaborative Research: Antarctic ELF/VLF observations of lightning and lightning-induced electron precipitation
Morel, Francois M 	B-003-P 	Collaborative Research: The seasonal dynamics of CO2, primary production, and DMS in the Western Antarctic Peninsula - Measurements of pools and processes using mass spectrometry
Morgan-Kiss, Rachael 	B-247-M 	CAREER: Protist diversity and function in the dry valley lakes
Morin, Paul 	T-434-M 	The Polar Geospatial Information Center: Joint support
Naveen, Ron 	B-044-E 	Collaborative Research: Multispecies, multi-scale investigations of long-term changes in penguin and seabird populations on the Antarctic Peninsula
O'Brien, Kristin M. 	B-036-L/P 	Redox balance in Antarctic notothenioid fishes: Do icefishes have an advantage?
Obbard, Rachel W 	O-263-M 	Bromide in snow in the sea ice zone
Pettit, Joseph R 	T-295-M 	UNAVCO GPS survey support
Place, Sean 	B-199-M 	Ocean acidification–category 1: Identifying adaptive responses of polar fishes in a vulnerable ecosystem
Ponganis, Paul 	B-197-M 	The physiological ecology of two Antarctic icons: Emperor penguins and leopard seals
Postlethwait, John Harvey 	B-029-L/P 	Developmental Mechanisms for the Evolution of Bone Loss
Powell, Ross 	C-522-M 	Integrative study of marine ice sheet stability and subglacial life habitats - Robotic Access to Grounding-zones for Exploration and Science (RAGES)
Priscu, John 	C-523-M 	GeomicroBiology of Antarctic Subglacial Environments (GBASE) beneath the Mercer and Whillans ice streams
Priscu, John 	B-505-M 	McMurdo LTER - Lakes: Increased connectivity in a polar desert resulting from climate warming: McMurdo Dry Valley LTER Program
Pryke, Clement 	A-149-S 	Collaborative Research: BICEP2 and SPUD - A search for inflation with degree-scale polarimetry from the South Pole
Rack, Frank 	C-524-M 	WISSARD borehole drill contractor
Romalis, Michael V 	A-103-S 	Test of Lorentz invariance at the South Pole
Rotella, Jay 	B-009-M 	The demographic consequences of environmental variability and individual heterogeneity in life-history tactics of a long-lived Antarctic marine predator
Scambos, Theodore 	C-514-E 	Collaborative Research in IPY: Abrupt Environmental Change in the Larsen Ice Shelf System, a Multi-disciplinary Approach -- Cryosphere and Oceans (LARISSA)
Schmidt, Britney Elyce 	B-259-M 	Astrobiology Science and Technology for Exploring Planets
Schofield, Oscar 	B-019-L/P 	Palmer Long Term Ecological Research (LTER): Looking back in time through marine ecosystem space, phytoplankton component
Schwartz, Susan 	C-525-M 	Investigating (un)stable sliding of Whillians Ice Stream and subglacial water dynamics using borehole seismology: A component of the Whillans Ice Stream Subglacial Access Research Drilling (WISSARD) Project
Severinghaus, Jeffrey 	I-476-M 	Collaborative Research: Replicate coring at WAIS Divide to obtain additional samples at events of high scientific interest
Sims, Kenneth W 	G-092-M 	A geochemical study of the nature and evolution of mantle upwelling beneath Ross Island and its relationship to tectonics in the West Antarctic Rift System
Sprintall, Janet 	O-260-L 	The Drake Passage high-density XBT/XCTD program
Staudigel, Hubert 	G-439-M 	Collaborative research: Microbially mediated alteration of volcanic glass using McMurdo extreme environments as natural laboratories
Stearns, Leigh 	I-351-M 	Collaborative Research: Byrd Glacier flow dynamics
Steinberg, Deborah 	B-020-L/P 	Palmer Long Term Ecological Research (LTER): Looking back in time through marine ecosystem space, zooplankton component
Stepp, Bill 	A-145-M 	NASA Long Duration Balloon (LDB) support program
Stone, John 	I-414-M 	Glacial-interglacial history of West Antarctic nunataks and site reconnaissance for subglacial bedrock sampling
Sweeney, Colm 	O-214-L 	Collaborative research: Biogeochemical controls of the oxygen and carbon system in the Drake Passage
Szuberla, Curt 	T-396-M 	Installation of a CTBT class infrasound station
Takacs-Vesbach, Cristina 	B-330-M 	An integrated ecological investigation of McMurdo Dry Valley's active soil microbial communities
Taylor, Edith 	G-496-M 	Life in a volcanic landscape: Early Jurassic paleoenvironments and paleobotany
Taylor, Kendrick 	I-477-M 	WAIS Divide Science Coordination Office (SCO)
Thoman, Bruce 	T-927-M 	NASA/McMurdo Ground Station (MG1)
Thurber, Andrew 	B-004-M 	Microbe-metazoan interactions in an Antarctic infaunal community
Tuft, Diane 	W-493-M 	The hidden light of Antarctica
Wall, Diana 	B-507-M 	McMurdo LTER - Soils: Increased connectivity in a polar desert resulting from climate warming: McMurdo Dry Valley LTER Program
Warburton, Janet 	Y-606-M 	PolarTREC
Warren, Stephen 	O-201-E 	Spectral and broadband albedo of Antarctic sea-ice types
Watters, George 	B-006-N 	NOAA/AMLR Cruise
Weatherwax, Allan T 	A-111-M/S 	Studies of the polar Ionosphere and Magnetosphere from measurements in Antarctica
Weatherwax, Allan T 	A-112-M 	Polar experiment network for geospace upper-atmosphere investigations: PENGUIn - A high-latitude window to geospace dynamics
Wiens, Douglas 	G-089-M/S 	Polenet East: An international seismological network for East Antarctica
Wilson, Terry 	G-079-M 	Collaborative research, IPY POLENET-Antarctica: Investigating links between geodynamics and ice sheets
Wu, Qian 	A-132-P 	Thermospheric neutral wind observation in the Antarctica Peninsula
Young, Duncan A 	G-099-M 	Geophysical Investigation of Marie Byrd Land Lithospheric Evolution -- GIMBLE
Yuan, Xiaojun 	O-261-N 	Collaborative Research: Sampling the ocean - sea ice interaction in the Pacific center of the Antarctic Dipole
