Ainley, David 	B-031-M 	Adelie Penguin response to climate change at the individual, colony and metapopulation levels
Inan, Umran 	A-327-N 	ELF/VLF observation in the southern Pacific Ocean
Johns, Bjorn 	T-295-M 	UNAVCO GPS survey support
Joughin, Ian 	I-157-M 	IPY collaborative research: Constraining the mass balance deficit of the Amundsen Coast's glaciers
Karentz, Deneb 	B-301-M 	A graduate training program in Antarctica: Integrative biology and adaptation of antarctic marine organisms
Kemerait, Robert 	G-078-M 	Dry Valley seismic project
Kennicutt, Mahlon 	B-518-M 	Temporal variability in natural and anthropogenic disturbance of McMurdo Station
Kim, Stacy 	B-174-M 	Development of a remotely operated vehicle for under-ice research in polar environments
Kovac, John 	A-039-S 	Collaborative Research: BICEP2 and SPUD - A search for inflation with degree-scale polarimetry from the South Pole
Kurbatov, Andrei 	I-349-M 	Collaborative Research: Exploring a 2 million-year-plus ice climate archive-Allan Hills blue ice area (2MBIA)
Kyle, Phillip 	G-081-M 	Mount Erebus Volcano Observatory III (MEVO III): Conduit processes and surveillance
LaBelle, James 	A-128-S 	Collaborative Research: Multi-instrument studies of auroral plasma radiation
Lazzara, Matt 	O-283-M/S 	Collaborative research: Antarctic Automatic Weather Station Program (AWS), 2007-2010
Lee, Richard 	B-256-P 	Role of dehydration and photoperiodism in preparing an Antarctic insect for the polar night
Linder, Chris 	W-218-M 	Raptor of the South
Lyons, W. Berry 	B-420-M 	Role of resource legacy on contemporary linkages between biodiversity and ecosystem processes in a cold desert ecosystem: The McMurdo Dry Valleys LTER program
Manahan, Donal 	B-301-M 	A graduate training program in Antarctica: Integrative biology and adaptation of antarctic marine organisms
Martinson, Doug 	B-021-L 	Palmer Long Term Ecological Research (LTER): Looking back in time through marine ecosystem space, physical oceanography component
McKee, Anna 	W-217-M 	Ice Cores, Translucent Truths from the Antarctic Ice Sheet
Mende, Stephen 	A-104-S 	Antarctic auroral imaging
Millan, Robyn 	A-144-M 	Balloon Array for RBSP Relativistic Electron Losses (BARREL)
Mitchell, JohnExternal U.S. Government Site 	A-140-M 	Balloon-borne Experiment with a Superconducting Spectrometer (BESS)
Morin, Paul 	T-434-M 	The Antarctic Geospatial Information Center: Collecting, creating, delivering and archiving for the community
Neill, Christopher 	Y-609-P 	IPY: Improving the public’s understanding of polar research through hands-on fellowships for science journalists in the Arctic and Antarctic
Nowacek, Douglas P 	B-249-N 	Collaborative research: The ecological role of a poorly studied Antarctic krill predator, the humpback whale (Megaptera novaeangliae)
Nyblade, Andy 	G-055-M 	Collaborative Research: A broadband seismic experiment to image the lithosphere beneath the Gamburtsev Mountains, East Antarctica
Parker, Timothy 	T-299-M 	IRIS/PASSCAL seismic support
Pettit, Erin 	C-514-E/N 	Collaborative Research in IPY: Abrupt Environmental Change in the Larsen Ice Shelf System, a Multi-disciplinary Approach -- Cryosphere and Oceans (LARISSA)
Priscu, John 	B-422-M 	The Role of Resource Legacy on Contemporary Linkages Between Biodiversity and Ecosystem Processes in a Cold Desert Ecosystem: The McMurdo Dry Valley LTER Program
Pryke, Clement 	A-039-S 	Collaborative Research: BICEP2 and SPUD - A search for inflation with degree-scale polarimetry from the South Pole
Scambos, Theodore 	C-514-E/N 	Collaborative Research in IPY: Abrupt Environmental Change in the Larsen Ice Shelf System, a Multi-disciplinary Approach -- Cryosphere and Oceans (LARISSA)
Seo, Eun-Suk 	A-137-M 	Cosmic Ray Energetics And Mass (CREAM)
Sivjee, Gulamabas 	A-129-S 	Observation of upper-atmospheric energetics, dynamics, and long-term variations over South Pole Station
Sprintall, Janet 	O-260-L 	The Drake Passage high-density XBT/XCTD program
Steffen, Konrad 	I-077-E 	IPY: Stability of Larsen C Ice Shelf in a warming climate
Steinberg, Deborah 	B-020-L/P 	Palmer Long Term Ecological Research (LTER): Looking back in time through marine ecosystem space, zooplankton component
Stepp, BillExternal U.S. Government Site 	A-145-M 	NASA Long Duration Balloon (LDB) support program
Sweeney, Colm 	O-214-L 	Processes driving spatial and temporal variability of surface pCO2 in the Drake Passage
Szuberla, Curt 	T-396-M 	Operation and maintenance of a CTBT class infrasound array at Windless Bight
Taylor, Kendrick 	I-477-M 	Investigation of climate, ice dynamics, and biology using a deep ice core from the West Antarctic Ice Sheet
Taylor, Michael 	A-119-S 	Investigating wave-driven mesospheric dynamics over South Pole using an advanced mesospheric temperature mapper
Torres, Joseph J 	B-258-N 	Collaborative research: Possible climate-induced change in the distribution of Pleuragramma antarcticum on the Western Antarctic Peninsula shelf
Vernet, Maria 	C-246-N 	Title: Collaborative Research in IPY: Abrupt Environmental Change in the Larsen Ice Shelf System, a Multidisciplinary Approach-Marine Ecosystems
Virginia, Ross 	B-423-M 	Role of resource legacy on contemporary linkages between biodiversity and ecosystem processes in a cold desert ecosystem: The McMurdo Dry Valley LTER program
Wall, Diana 	B-424-M 	Role of resource legacy on contemporary linkages between biodiversity and ecosystem processes in a cold desert ecosystem: The McMurdo Dry Valley LTER program
Zesta, Eftyhia 	A-357-M 	South American Meridional B-Field Array (SAMBA): An American-Chilean chain
